ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:56:52 797m





Relative time,HS3(27295).Ch2
s,V
0,0.041003418
0.001,0.06151123
0.002,0.078503418
0.003,0.09901123
0.004,0.11502686
0.005,0.13143311
0.006,0.15408936
0.007,0.16346436
0.008,0.17908936
0.009,0.19178467
0.01,0.20662842
0.011,0.21912842
0.012,0.22850342
0.013,0.23787842
0.014,0.24744873
0.015,0.25623779
0.016,0.26326904
0.017,0.26678467
0.018,0.27049561
0.019,0.27264404
0.02,0.27322998
0.021,0.27635498
0.022,0.27264404
0.023,0.27069092
0.024,0.26541748
0.025,0.25994873
0.026,0.25389404
0.027,0.24627686
0.028,0.23748779
0.029,0.22596436
0.03,0.21424561
0.031,0.20389404
0.032,0.18885498
0.033,0.17674561
0.034,0.15975342
0.035,0.14354248
0.036,0.12674561
0.037,0.10975342
0.038,0.091394043
0.039,0.074401855
0.04,0.052526855
0.041,0.036901855
0.042,0.017565918
0.043,-0.001184082
0.044,-0.02052002
0.045,-0.03848877
0.046,-0.058410645
0.047,-0.076574707
0.048,-0.09473877
0.049,-0.11407471
0.05,-0.13165283
0.051,-0.14942627
0.052,-0.16446533
0.053,-0.17872314
0.054,-0.19200439
0.055,-0.20489502
0.056,-0.21915283
0.057,-0.22813721
0.058,-0.23848877
0.059,-0.24786377
0.06,-0.25469971
0.061,-0.26173096
0.062,-0.26837158
0.063,-0.27169189
0.064,-0.27305908
0.065,-0.27305908
0.066,-0.27344971
0.067,-0.27423096
0.068,-0.27169189
0.069,-0.26915283
0.07,-0.26094971
0.071,-0.25626221
0.072,-0.24962158
0.073,-0.24239502
0.074,-0.23204346
0.075,-0.22227783
0.076,-0.20997314
0.077,-0.19649658
0.078,-0.18380127
0.079,-0.17110596
0.08,-0.15509033
0.081,-0.13673096
0.082,-0.12149658
0.083,-0.10352783
0.084,-0.085559082
0.085,-0.06817627
0.086,-0.049035645
0.087,-0.027160645
0.088,-0.008996582
0.089,0.011706543
0.09,0.030651855
0.091,0.049597168
0.092,0.069128418
0.093,0.084753418
0.094,0.10311279
0.095,0.12147217
0.096,0.13807373
0.097,0.15350342
0.098,0.16756592
0.099,0.18104248
0.1,0.19627686
0.101,0.20897217
0.102,0.21990967
0.103,0.23045654
0.104,0.24041748
0.105,0.24881592
0.106,0.25506592
0.107,0.25955811
0.108,0.26424561
0.109,0.26697998
0.11,0.26776123
0.111,0.26932373
0.112,0.26834717
0.113,0.26658936
0.114,0.26365967
0.115,0.25858154
0.116,0.25115967
0.117,0.24432373
0.118,0.23748779
0.119,0.22557373
0.12,0.21600342
0.121,0.20545654
0.122,0.19158936
0.123,0.17928467
0.124,0.16658936
0.125,0.15115967
0.126,0.13592529
0.127,0.11912842
0.128,0.10174561
0.129,0.08494873
0.13,0.068151855
0.131,0.051159668
0.132,0.032214355
0.133,0.014831543
0.134,-0.0041137695
0.135,-0.022277832
0.136,-0.039465332
0.137,-0.058215332
0.138,-0.075793457
0.139,-0.095129395
0.14,-0.11505127
0.141,-0.13048096
0.142,-0.14571533
0.143,-0.16192627
0.144,-0.17501221
0.145,-0.18848877
0.146,-0.20157471
0.147,-0.21329346
0.148,-0.22520752
0.149,-0.23399658
