ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:02:35 757m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.02331543,0.011694336
0.001,0.16589355,0.039038086
0.002,0.32214355,0.064038086
0.003,0.4510498,0.088647461
0.004,0.59753418,0.11325684
0.005,0.71862793,0.13669434
0.006,0.80847168,0.15544434
0.007,0.94128418,0.17849121
0.008,1.0701904,0.19802246
0.009,1.1639404,0.21755371
0.01,1.2811279,0.23474121
0.011,1.3612061,0.24724121
0.012,1.4471436,0.26442871
0.013,1.5096436,0.27536621
0.014,1.5623779,0.28395996
0.015,1.6229248,0.29372559
0.016,1.6405029,0.29567871
0.017,1.6619873,0.29997559
0.018,1.6717529,0.30192871
0.019,1.6580811,0.29880371
0.02,1.6502686,0.29411621
0.021,1.6072998,0.28591309
0.022,1.5467529,0.27614746
0.023,1.4920654,0.26716309
0.024,1.4119873,0.25349121
0.025,1.3280029,0.23903809
0.026,1.2283936,0.22185059
0.027,1.1287842,0.20661621
0.028,1.0213623,0.18747559
0.029,0.90026855,0.16560059
0.03,0.76940918,0.14216309
0.031,0.63659668,0.11911621
0.032,0.49401855,0.094116211
0.033,0.34753418,0.069897461
0.034,0.19909668,0.042944336
0.035,0.048706055,0.018725586
0.036,-0.03918457,-0.0031494141
0.037,-0.20910645,-0.030493164
0.038,-0.31262207,-0.053149414
0.039,-0.45715332,-0.077758789
0.04,-0.60559082,-0.10236816
0.041,-0.7286377,-0.12541504
0.042,-0.87121582,-0.14846191
0.043,-0.98449707,-0.16916504
0.044,-1.1016846,-0.18986816
0.045,-1.2188721,-0.20861816
0.046,-1.3009033,-0.22463379
0.047,-1.4024658,-0.24064941
0.048,-1.4610596,-0.25354004
0.049,-1.5177002,-0.26760254
0.05,-1.5860596,-0.27541504
0.051,-1.6231689,-0.28205566
0.052,-1.6563721,-0.28830566
0.053,-1.6798096,-0.28947754
0.054,-1.6739502,-0.28908691
0.055,-1.6661377,-0.28830566
0.056,-1.6427002,-0.28400879
0.057,-1.6036377,-0.27697754
0.058,-1.5528564,-0.26994629
0.059,-1.4727783,-0.25822754
0.06,-1.4141846,-0.24650879
0.061,-1.3302002,-0.23127441
0.062,-1.2286377,-0.21330566
0.063,-1.1290283,-0.19689941
0.064,-1.0118408,-0.17619629
0.065,-0.89465332,-0.15314941
0.066,-0.76184082,-0.13049316
0.067,-0.62512207,-0.10744629
0.068,-0.48254395,-0.083618164
0.069,-0.32629395,-0.054321289
0.07,-0.17785645,-0.030493164
0.071,-0.03137207,-0.0027587891
0.072,0.11901855,0.024584961
0.073,0.25964355,0.051538086
0.074,0.4119873,0.076928711
0.075,0.55456543,0.10231934
0.076,0.68347168,0.12575684
0.077,0.76550293,0.14528809
0.078,0.92175293,0.17106934
0.079,1.0155029,0.19020996
0.08,1.1385498,0.21052246
0.081,1.2479248,0.22888184
0.082,1.3260498,0.24450684
0.083,1.4237061,0.25974121
0.084,1.4822998,0.27380371
0.085,1.5487061,0.28356934
0.086,1.5994873,0.29606934
0.087,1.6287842,0.29919434
0.088,1.6600342,0.30544434
0.089,1.6697998,0.30700684
0.09,1.6619873,0.30466309
0.091,1.6522217,0.30192871
0.092,1.6112061,0.29841309
0.093,1.5643311,0.28825684
0.094,1.5096436,0.27849121
0.095,1.4354248,0.26638184
0.096,1.3475342,0.25310059
0.097,1.2518311,0.23708496
0.098,1.1678467,0.21989746
0.099,1.0584717,0.20349121
0.1,0.93347168,0.17849121
0.101,0.80651855,0.15388184
0.102,0.67370605,0.13044434
