ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:57:22 534m





Relative time,HS3(27295).Ch2
s,V
-2.5,-0.074279785
-2.499,-0.073303223
-2.498,-0.06842041
-2.497,-0.065490723
-2.496,-0.062561035
-2.495,-0.05670166
-2.494,-0.05279541
-2.493,-0.045959473
-2.492,-0.042053223
-2.491,-0.034240723
-2.49,-0.028381348
-2.489,-0.027404785
-2.488,-0.016662598
-2.487,-0.01373291
-2.486,-0.0098266602
-2.485,-0.0029907227
-2.484,0.0077514648
-2.483,0.011657715
-2.482,0.015563965
-2.481,0.018493652
-2.48,0.028259277
-2.479,0.031188965
-2.478,0.039001465
-2.477,0.041931152
-2.476,0.04876709
-2.475,0.053649902
-2.474,0.06048584
-2.473,0.062438965
-2.472,0.066345215
-2.471,0.074157715
-2.47,0.079040527
-2.469,0.07611084
-2.468,0.08001709
-2.467,0.084899902
-2.466,0.088806152
-2.465,0.09173584
-2.464,0.088806152
-2.463,0.09173584
-2.462,0.09173584
-2.461,0.088806152
-2.46,0.089782715
-2.459,0.088806152
-2.458,0.086853027
-2.457,0.084899902
-2.456,0.086853027
-2.455,0.082946777
-2.454,0.082946777
-2.453,0.078063965
-2.452,0.078063965
-2.451,0.071228027
-2.45,0.069274902
-2.449,0.067321777
-2.448,0.062438965
-2.447,0.055603027
-2.446,0.05267334
-2.445,0.046813965
-2.444,0.041931152
-2.443,0.036071777
-2.442,0.030212402
-2.441,0.023376465
-2.44,0.018493652
-2.439,0.012634277
-2.438,0.0067749023
-2.437,0.0028686523
-2.436,-0.0068969727
-2.435,-0.011779785
-2.434,-0.01763916
-2.433,-0.02154541
-2.432,-0.026428223
-2.431,-0.03326416
-2.43,-0.035217285
-2.429,-0.038146973
-2.428,-0.04888916
-2.427,-0.053771973
-2.426,-0.05279541
-2.425,-0.057678223
-2.424,-0.061584473
-2.423,-0.06842041
-2.422,-0.069396973
-2.421,-0.070373535
-2.42,-0.074279785
-2.419,-0.07232666
-2.418,-0.077209473
-2.417,-0.078186035
-2.416,-0.08013916
-2.415,-0.078186035
-2.414,-0.07623291
-2.413,-0.079162598
-2.412,-0.081115723
-2.411,-0.077209473
-2.41,-0.077209473
-2.409,-0.07623291
-2.408,-0.070373535
-2.407,-0.069396973
-2.406,-0.067443848
-2.405,-0.062561035
-2.404,-0.05670166
-2.403,-0.05279541
-2.402,-0.047912598
-2.401,-0.042053223
-2.4,-0.038146973
-2.399,-0.038146973
-2.398,-0.028381348
-2.397,-0.024475098
-2.396,-0.020568848
-2.395,-0.015686035
-2.394,-0.0078735352
-2.393,-0.0029907227
-2.392,0.0038452148
-2.391,0.011657715
-2.39,0.014587402
-2.389,0.023376465
-2.388,0.02532959
-2.387,0.03314209
-2.386,0.036071777
-2.385,0.043884277
-2.384,0.043884277
-2.383,0.05267334
-2.382,0.057556152
-2.381,0.06048584
-2.38,0.066345215
-2.379,0.067321777
-2.378,0.07220459
-2.377,0.078063965
-2.376,0.080993652
-2.375,0.079040527
-2.374,0.082946777
-2.373,0.084899902
-2.372,0.085876465
-2.371,0.089782715
-2.37,0.08782959
-2.369,0.089782715
-2.368,0.08782959
-2.367,0.085876465
-2.366,0.085876465
-2.365,0.08001709
-2.364,0.080993652
-2.363,0.079040527
-2.362,0.078063965
-2.361,0.074157715
-2.36,0.073181152
-2.359,0.066345215
-2.358,0.063415527
-2.357,0.057556152
-2.356,0.05267334
-2.355,0.050720215
-2.354,0.04486084
-2.353,0.04095459
-2.352,0.038024902
-2.351,0.027282715
-2.35,0.023376465
-2.349,0.022399902
-2.348,0.012634277
-2.347,0.0057983398
-2.346,0.0028686523
-2.345,-0.0039672852
-2.344,-0.010803223
-2.343,-0.015686035
-2.342,-0.019592285
-2.341,-0.026428223
-2.34,-0.02935791
-2.339,-0.034240723
-2.338,-0.04107666
-2.337,-0.045959473
-2.336,-0.04888916
-2.335,-0.05279541
-2.334,-0.055725098
-2.333,-0.059631348
-2.332,-0.065490723
-2.331,-0.069396973
-2.33,-0.069396973
-2.329,-0.073303223
-2.328,-0.07623291
-2.327,-0.073303223
-2.326,-0.079162598
-2.325,-0.079162598
-2.324,-0.079162598
-2.323,-0.082092285
-2.322,-0.08013916
-2.321,-0.077209473
-2.32,-0.079162598
-2.319,-0.079162598
-2.318,-0.074279785
-2.317,-0.07623291
-2.316,-0.073303223
-2.315,-0.069396973
-2.314,-0.065490723
-2.313,-0.061584473
-2.312,-0.061584473
-2.311,-0.05279541
-2.31,-0.050842285
-2.309,-0.044006348
-2.308,-0.040100098
-2.307,-0.03717041
-2.306,-0.031311035
-2.305,-0.028381348
-2.304,-0.02154541
-2.303,-0.01373291
-2.302,-0.010803223
-2.301,-0.0068969727
-2.3,0.00091552734
-2.299,0.0067749023
-2.298,0.012634277
-2.297,0.016540527
-2.296,0.022399902
-2.295,0.028259277
-2.294,0.032165527
-2.293,0.041931152
-2.292,0.043884277
-2.291,0.04876709
-2.29,0.054626465
-2.289,0.05657959
-2.288,0.062438965
-2.287,0.06829834
-2.286,0.06829834
-2.285,0.07220459
-2.284,0.071228027
-2.283,0.07611084
-2.282,0.082946777
-2.281,0.08001709
-2.28,0.08001709
-2.279,0.081970215
-2.278,0.078063965
-2.277,0.084899902
-2.276,0.084899902
-2.275,0.082946777
-2.274,0.081970215
-2.273,0.081970215
-2.272,0.077087402
-2.271,0.07611084
-2.27,0.074157715
-2.269,0.071228027
-2.268,0.069274902
-2.267,0.069274902
-2.266,0.061462402
-2.265,0.058532715
-2.264,0.055603027
-2.263,0.047790527
-2.262,0.043884277
-2.261,0.036071777
-2.26,0.034118652
-2.259,0.028259277
-2.258,0.024353027
-2.257,0.016540527
-2.256,0.012634277
-2.255,0.0097045898
-2.254,0.0038452148
-2.253,-0.0020141602
-2.252,-0.0078735352
-2.251,-0.016662598
-2.25,-0.018615723
-2.249,-0.02545166
-2.248,-0.032287598
-2.247,-0.036193848
-2.246,-0.043029785
-2.245,-0.04498291
-2.244,-0.049865723
-2.243,-0.055725098
-2.242,-0.061584473
-2.241,-0.063537598
-2.24,-0.063537598
-2.239,-0.067443848
-2.238,-0.07232666
-2.237,-0.071350098
-2.236,-0.075256348
-2.235,-0.08013916
-2.234,-0.078186035
-2.233,-0.08013916
-2.232,-0.082092285
-2.231,-0.083068848
-2.23,-0.08013916
-2.229,-0.079162598
-2.228,-0.078186035
-2.227,-0.082092285
-2.226,-0.079162598
-2.225,-0.074279785
-2.224,-0.074279785
-2.223,-0.06842041
-2.222,-0.067443848
-2.221,-0.063537598
-2.22,-0.058654785
-2.219,-0.05670166
-2.218,-0.051818848
-2.217,-0.047912598
-2.216,-0.042053223
-2.215,-0.038146973
-2.214,-0.03326416
-2.213,-0.02935791
-2.212,-0.023498535
-2.211,-0.01763916
-2.21,-0.012756348
-2.209,-0.0068969727
-2.208,-0.0020141602
-2.207,0.0057983398
-2.206,0.010681152
-2.205,0.018493652
-2.204,0.018493652
-2.203,0.027282715
-2.202,0.031188965
-2.201,0.03314209
-2.2,0.04095459
-2.199,0.042907715
-2.198,0.049743652
-2.197,0.053649902
-2.196,0.058532715
-2.195,0.06048584
-2.194,0.063415527
-2.193,0.06439209
-2.192,0.074157715
-2.191,0.07220459
-2.19,0.075134277
-2.189,0.077087402
-2.188,0.08001709
-2.187,0.08392334
-2.186,0.082946777
-2.185,0.08001709
-2.184,0.078063965
-2.183,0.078063965
-2.182,0.077087402
-2.181,0.07611084
-2.18,0.074157715
-2.179,0.07220459
-2.178,0.070251465
-2.177,0.063415527
-2.176,0.067321777
-2.175,0.062438965
-2.174,0.057556152
-2.173,0.051696777
-2.172,0.050720215
-2.171,0.045837402
-2.17,0.039001465
-2.169,0.03314209
-2.168,0.03314209
-2.167,0.028259277
-2.166,0.022399902
-2.165,0.014587402
-2.164,0.0097045898
-2.163,0.00091552734
-2.162,-6.1035156E-5
-2.161,-0.0068969727
-2.16,-0.0098266602
-2.159,-0.01763916
-2.158,-0.024475098
-2.157,-0.027404785
-2.156,-0.032287598
-2.155,-0.03717041
-2.154,-0.04498291
-2.153,-0.044006348
-2.152,-0.047912598
-2.151,-0.055725098
-2.15,-0.058654785
-2.149,-0.06060791
-2.148,-0.066467285
-2.147,-0.071350098
-2.146,-0.070373535
-2.145,-0.07623291
-2.144,-0.077209473
-2.143,-0.078186035
-2.142,-0.08013916
-2.141,-0.081115723
-2.14,-0.081115723
-2.139,-0.081115723
-2.138,-0.081115723
-2.137,-0.082092285
-2.136,-0.08013916
-2.135,-0.078186035
-2.134,-0.075256348
-2.133,-0.07623291
-2.132,-0.067443848
-2.131,-0.069396973
-2.13,-0.06451416
-2.129,-0.06451416
-2.128,-0.06060791
-2.127,-0.054748535
-2.126,-0.050842285
-2.125,-0.047912598
-2.124,-0.04107666
-2.123,-0.036193848
-2.122,-0.032287598
-2.121,-0.02545166
-2.12,-0.023498535
-2.119,-0.019592285
-2.118,-0.0098266602
-2.117,-0.0059204102
-2.116,0.00091552734
-2.115,0.0067749023
-2.114,0.01361084
-2.113,0.018493652
-2.112,0.02532959
-2.111,0.028259277
-2.11,0.031188965
-2.109,0.036071777
-2.108,0.04486084
-2.107,0.046813965
-2.106,0.054626465
-2.105,0.057556152
-2.104,0.059509277
-2.103,0.06048584
-2.102,0.066345215
-2.101,0.069274902
-2.1,0.075134277
-2.099,0.074157715
-2.098,0.08001709
-2.097,0.08001709
-2.096,0.08001709
