ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:59:30 099m





Relative time,HS3(27295).Ch2
s,V
-2.5,-0.0039672852
-2.499,-0.0020141602
-2.498,-6.1035156E-5
-2.497,0.0038452148
-2.496,-6.1035156E-5
-2.495,-0.0010375977
-2.494,-6.1035156E-5
-2.493,-0.0020141602
-2.492,0.0038452148
-2.491,-6.1035156E-5
-2.49,-0.0010375977
-2.489,0.0038452148
-2.488,-0.0020141602
-2.487,-0.0020141602
-2.486,0.0018920898
-2.485,0.0018920898
-2.484,-0.0020141602
-2.483,0.00091552734
-2.482,0.0028686523
-2.481,0.0018920898
-2.48,-6.1035156E-5
-2.479,-6.1035156E-5
-2.478,-0.0020141602
-2.477,0.0018920898
-2.476,-0.0010375977
-2.475,-0.0010375977
-2.474,0.0038452148
-2.473,0.00091552734
-2.472,-0.0010375977
-2.471,-0.0020141602
-2.47,0.0018920898
-2.469,0.0028686523
-2.468,-0.0010375977
-2.467,0.00091552734
-2.466,-0.0020141602
-2.465,-6.1035156E-5
-2.464,-0.0010375977
-2.463,0.0028686523
-2.462,0.0028686523
-2.461,0.0018920898
-2.46,0.0018920898
-2.459,0.0048217773
-2.458,0.0018920898
-2.457,0.0028686523
-2.456,0.0028686523
-2.455,0.0048217773
-2.454,-6.1035156E-5
-2.453,0.0028686523
-2.452,0.0038452148
-2.451,0.0038452148
-2.45,0.0038452148
-2.449,0.0048217773
-2.448,0.0048217773
-2.447,0.00091552734
-2.446,0.0028686523
-2.445,-6.1035156E-5
-2.444,0.00091552734
-2.443,0.0018920898
-2.442,-0.0010375977
-2.441,0.0018920898
-2.44,0.0018920898
-2.439,0.0028686523
-2.438,0.00091552734
-2.437,0.0028686523
-2.436,0.0038452148
-2.435,0.0048217773
-2.434,0.0028686523
-2.433,-0.0020141602
-2.432,0.0048217773
-2.431,0.0018920898
-2.43,0.0018920898
-2.429,-0.0010375977
-2.428,-6.1035156E-5
-2.427,0.0028686523
-2.426,0.0018920898
-2.425,-0.0029907227
-2.424,-6.1035156E-5
-2.423,0.00091552734
-2.422,-0.0010375977
-2.421,-6.1035156E-5
-2.42,0.0057983398
-2.419,0.0048217773
-2.418,-0.0010375977
-2.417,-6.1035156E-5
-2.416,0.0028686523
-2.415,-6.1035156E-5
-2.414,0.0018920898
-2.413,0.00091552734
-2.412,-6.1035156E-5
-2.411,0.0038452148
-2.41,-0.0010375977
-2.409,-0.0010375977
-2.408,-0.0010375977
-2.407,0.0018920898
-2.406,0.0038452148
-2.405,-0.0010375977
-2.404,0.0028686523
-2.403,0.0018920898
-2.402,0.00091552734
-2.401,0.0028686523
-2.4,-0.0010375977
-2.399,0.0048217773
-2.398,0.0038452148
-2.397,0.0018920898
-2.396,0.0038452148
-2.395,0.0018920898
-2.394,0.0038452148
-2.393,0.0038452148
-2.392,0.0038452148
-2.391,0.0038452148
-2.39,0.0038452148
-2.389,0.0028686523
-2.388,0.0028686523
-2.387,0.0057983398
-2.386,0.0048217773
-2.385,0.0048217773
-2.384,0.0067749023
-2.383,0.0067749023
-2.382,0.0048217773
-2.381,0.0077514648
-2.38,0.0067749023
-2.379,0.0057983398
-2.378,0.0067749023
-2.377,0.0087280273
-2.376,0.0067749023
-2.375,0.0067749023
-2.374,0.0067749023
-2.373,0.0067749023
-2.372,0.0077514648
-2.371,0.0057983398
-2.37,0.0067749023
-2.369,0.0077514648
-2.368,0.0067749023
-2.367,0.0057983398
-2.366,0.0077514648
-2.365,0.0077514648
-2.364,0.0077514648
-2.363,0.0087280273
-2.362,0.0048217773
-2.361,0.0087280273
-2.36,0.0077514648
-2.359,0.0057983398
-2.358,0.0067749023
-2.357,0.0048217773
-2.356,0.0057983398
-2.355,0.0077514648
-2.354,0.0057983398
-2.353,0.011657715
-2.352,0.0087280273
-2.351,0.0077514648
-2.35,0.0087280273
-2.349,0.0057983398
-2.348,0.0077514648
-2.347,0.0087280273
-2.346,0.0067749023
-2.345,0.0077514648
-2.344,0.0087280273
-2.343,0.0097045898
-2.342,0.0057983398
-2.341,0.0048217773
-2.34,0.0057983398
-2.339,0.0057983398
